caso,tipo_adyacencia,modelo,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,test_mape,tiempo_segundos,tiempo_minutos,tiempo_horas
proximidad_sentido_v2_500,correlacion,GCN_GRU,25,0.0041543177148205,0.00380706821377,0.0290041211992502,0.0617014430463314,3.8533547,1386.1316652297974,23.1,0.39
proximidad_500,correlacion,GCN_LSTM,25,0.0039384689951487,0.0034716585698342,0.0302312262356281,0.058920782059431,3.918672,1096.7463564872742,18.28,0.3
proximidad_500,correlacion,GCN_GRU,25,0.0041682438317341,0.0036479715640503,0.0297203436493873,0.0603984408080577,3.9352942,1167.006828546524,19.45,0.32
proximidad_500,correlacion,GAT_LSTM,25,0.0046463855510707,0.0042215643217261,0.0300033427774906,0.0649735629558563,4.044428,1586.5865876674652,26.44,0.44
proximidad_sentido_v2_500,correlacion,GCN_LSTM,25,0.0040704743678073,0.00378831844718,0.0339893698692321,0.0615493170917034,4.4154186,1379.5010132789612,22.99,0.38
proximidad_sentido_v1_500,correlacion,GAT_LSTM,20,0.0048030598255181,0.0046626605928095,0.0317255966365337,0.0682836771011352,4.4328103,2447.648050546646,40.79,0.68
proximidad_sentido_v1_500,correlacion,GCN_GRU,25,0.0052151241388096,0.0050783866940751,0.0315336249768734,0.0712627992033958,4.500414,1913.6731815338132,31.89,0.53
proximidad_sentido_v2_500,correlacion,GAT_LSTM,23,0.0051128982206802,0.004856916122416,0.0334470272064209,0.0696915760636329,4.625304,1930.9627368450165,32.18,0.54
proximidad_sentido_v1_500,correlacion,GCN_LSTM,25,0.0051003718658289,0.0049532612073014,0.0336902551352977,0.0703794136643409,4.6813054,1847.726684331894,30.8,0.51
sensores_tal_cual,correlacion,GCN_LSTM,25,0.0048514445076862,0.0051070301663172,0.032848984003067,0.0714634880423545,4.794998,7179.022686481476,119.65,1.99
proximidad_sentido_v1_50,correlacion,GCN_GRU,25,0.0046830518164884,0.0043808954744757,0.0335521921515464,0.0661883354187011,4.8274117,562.9348137378693,9.38,0.16
sensores_tal_cual,correlacion,GCN_GRU,25,0.0049070146042037,0.0051605533303915,0.0342654883861541,0.0718369930982589,4.974508,6645.730404138565,110.76,1.85
proximidad_sentido_v2_50,correlacion,GCN_GRU,25,0.0047851592159365,0.0045651159528853,0.0354599580168724,0.0675656422972679,5.023526,461.16837787628174,7.69,0.13
proximidad_sentido_v1_50,correlacion,GCN_LSTM,25,0.0049378589325443,0.0046913070093344,0.0346696339547634,0.0684931129217147,5.0290833,568.019602060318,9.47,0.16
proximidad_50,correlacion,GCN_LSTM,25,0.0049209086304324,0.0048617240363147,0.0343363881111145,0.0697260648012161,5.055362,395.3502788543701,6.59,0.11
proximidad_50,correlacion,GCN_GRU,25,0.0048871215876469,0.0048095514991533,0.0350509956479072,0.069350928068161,5.1178074,396.76179456710815,6.61,0.11
proximidad_sentido_v2_50,correlacion,GCN_LSTM,25,0.0048518537125354,0.0046182658310988,0.0374516285955905,0.0679578259587287,5.193852,463.5909674167633,7.73,0.13
proximidad_500,cercania,GAT_LSTM,10,0.0063184627876291,0.0060467072373621,0.0418015234172344,0.0777605772018432,5.533492,1587.9367368221283,26.47,0.44
proximidad_500,cercania,GCN_GRU,25,0.0069822036286996,0.0065596691042638,0.0432660691440105,0.0809917896986007,5.8331094,1158.97909617424,19.32,0.32
proximidad_sentido_v1_500,cercania,GCN_LSTM,25,0.0064942261916806,0.0066698905076352,0.0430394224822521,0.0816693976521492,5.9110904,1837.086718559265,30.62,0.51
proximidad_500,cercania,GCN_LSTM,25,0.0074168977119516,0.0070108419965372,0.0459985695779323,0.0837307721376419,6.108278,1095.5519933700562,18.26,0.3
proximidad_sentido_v1_500,cercania,GAT_LSTM,25,0.0075153382999599,0.0077030974888068,0.0448186174035072,0.0877672955393791,6.31599,2421.231020450592,40.35,0.67
proximidad_sentido_v2_500,cercania,GAT_LSTM,7,0.00774136531686,0.0075191906569252,0.0471655614674091,0.0867132693529129,6.4902463,1694.4487578868866,28.24,0.47
proximidad_sentido_v2_50,correlacion,GAT_LSTM,25,0.0073432579571402,0.0073393212009061,0.0463482439517974,0.0856698378920555,6.730329,750.320502281189,12.51,0.21
proximidad_sentido_v1_500,cercania,GCN_GRU,25,0.0079673032799807,0.0082283158603694,0.0485861152410507,0.0907100662589073,6.8032236,1876.0204093456268,31.27,0.52
proximidad_sentido_v1_50,correlacion,GAT_LSTM,25,0.007501196047884,0.0075503625711489,0.0497726164758205,0.0868928208947181,6.9871893,863.7115857601166,14.4,0.24
proximidad_sentido_v2_500,cercania,GCN_LSTM,25,0.0083259863076777,0.0081473109911513,0.051870472729206,0.0902624577283859,6.990989,1365.2154216766355,22.75,0.38
proximidad_comportamiento_500,correlacion,GCN_GRU,25,0.0081133059148191,0.0075740381059894,0.0456430204212665,0.0870289504528045,6.9930425,1238.8266401290894,20.65,0.34
proximidad_sentido_v2_500,cercania,GCN_GRU,25,0.0083974187123603,0.0082170875936443,0.0521210767328739,0.0906481519341468,7.0230327,1372.2541823387146,22.87,0.38
sensores_tal_cual,cercania,GCN_GRU,25,0.0086634770985987,0.0089899694660581,0.0475339069962501,0.0948154404759407,7.028431,6541.529302120209,109.03,1.82
sensores_tal_cual,cercania,GCN_LSTM,25,0.0087105824988394,0.0090442418854507,0.0480957105755806,0.0951012223958969,7.081331,7093.210377216339,118.22,1.97
sensores_tal_cual,cercania,GAT_LSTM,10,0.0096706115024723,0.0100150285288691,0.0476204715669155,0.1000751107931137,7.3433676,8881.570528268814,148.03,2.47
proximidad_50,correlacion,GAT_LSTM,18,0.0082856566155367,0.0090424330089384,0.0505058318376541,0.0950917080044746,7.550577,663.6442110538483,11.06,0.18
proximidad_comportamiento_500,correlacion,GCN_LSTM,25,0.0086774840156293,0.0081667560173732,0.0501547195017337,0.0903701037168502,7.580707,1190.0597565174105,19.83,0.33
