caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
proximidad_sentido_v2,correlacion,GCN_GRU,0.1,10,2,2,2,4,32,64,0.004109098313746314,0.003808021518080148,0.02808455191552639,0.061709169298410416,21.140022039413452,results\experimentos_epocas_datos\modelos\proximidad_sentido_v2_correlacion_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v2_correlacion_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad,correlacion,GCN_GRU,0.1,10,2,2,2,4,32,64,0.00358424294039893,0.003290517357625824,0.028282402083277702,0.057363029569387436,16.82480478286743,results\experimentos_epocas_datos\modelos\proximidad_correlacion_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_correlacion_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v1,correlacion,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.004063548641090132,0.003974543848657312,0.028615785762667656,0.0630439817905426,26.168558597564697,results\experimentos_epocas_datos\modelos\proximidad_sentido_v1_correlacion_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v1_correlacion_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v2,correlacion,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.004094281909213681,0.003789065743146914,0.029217112809419632,0.06155538558959961,20.594147443771362,results\experimentos_epocas_datos\modelos\proximidad_sentido_v2_correlacion_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v2_correlacion_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v1,correlacion,GCN_GRU,0.1,10,2,2,2,4,32,64,0.00442126907227439,0.004351975921852594,0.030160658061504364,0.06596950441598892,27.280966758728027,results\experimentos_epocas_datos\modelos\proximidad_sentido_v1_correlacion_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v1_correlacion_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad,correlacion,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.004582580061772371,0.004110100957655409,0.030380962416529655,0.06411007046699524,21.885743141174316,results\experimentos_epocas_datos\modelos\proximidad_correlacion_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_correlacion_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
sensores_tal_cual,correlacion,GAT_LSTM,0.1,10,2,1,2,4,32,64,0.00541758160558834,0.005627284472930176,0.03062388300895691,0.07501523196697235,105.68656468391418,results\experimentos_epocas_datos\modelos\sensores_tal_cual_correlacion_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad,correlacion,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.004393890204168772,0.004141828316446755,0.030747076496481895,0.06435703486204147,16.909587621688843,results\experimentos_epocas_datos\modelos\proximidad_correlacion_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_correlacion_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_GRU,0.1,10,2,2,2,4,32,64,0.005465489084796631,0.005625404755986436,0.030813494697213173,0.07500270009040833,86.74003219604492,results\experimentos_epocas_datos\modelos\sensores_tal_cual_correlacion_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.005317912082782784,0.0054691560129145195,0.031057732179760933,0.07395374774932861,100.06727194786072,results\experimentos_epocas_datos\modelos\sensores_tal_cual_correlacion_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v2,correlacion,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.005128363810656235,0.004812873871555514,0.03277634084224701,0.06937488168478012,28.43034601211548,results\experimentos_epocas_datos\modelos\proximidad_sentido_v2_correlacion_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v2_correlacion_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v1,correlacion,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.004995296870066068,0.004875950209384377,0.033205192536115646,0.06982800364494324,33.93185019493103,results\experimentos_epocas_datos\modelos\proximidad_sentido_v1_correlacion_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v1_correlacion_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad,cercania,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.0056139280563367545,0.005232104549129781,0.038385242223739624,0.07233329117298126,16.50194525718689,results\experimentos_epocas_datos\modelos\proximidad_cercania_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_cercania_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad,cercania,GCN_GRU,0.1,10,2,2,2,4,32,64,0.005620435685440729,0.005224997842049491,0.03984475135803223,0.07228414714336395,17.029624938964844,results\experimentos_epocas_datos\modelos\proximidad_cercania_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_cercania_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v1,cercania,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.006427654847250432,0.006591696518160084,0.040469586849212646,0.08118925988674164,25.85259437561035,results\experimentos_epocas_datos\modelos\proximidad_sentido_v1_cercania_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v1_cercania_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v1,cercania,GCN_GRU,0.1,10,2,2,2,4,32,64,0.006444114043837745,0.006600170192344463,0.04049142822623253,0.0812414288520813,26.45195508003235,results\experimentos_epocas_datos\modelos\proximidad_sentido_v1_cercania_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v1_cercania_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v2,cercania,GCN_GRU,0.1,10,2,2,2,4,32,64,0.006819678687030118,0.006603868508976348,0.04231417924165726,0.0812641903758049,20.529443740844727,results\experimentos_epocas_datos\modelos\proximidad_sentido_v2_cercania_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v2_cercania_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
sensores_tal_cual,cercania,GCN_GRU,0.1,10,2,2,2,4,32,64,0.00848698074893677,0.00879402588169946,0.04340635985136032,0.09377647191286087,85.37094330787659,results\experimentos_epocas_datos\modelos\sensores_tal_cual_cercania_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v1,cercania,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.007550268837631287,0.007762869632893303,0.0439457967877388,0.0881071463227272,33.50218677520752,results\experimentos_epocas_datos\modelos\proximidad_sentido_v1_cercania_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v1_cercania_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
