caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
proximidad_sentido_v2_500,correlacion,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.010722593689215439,0.010763298621312894,0.043916601687669754,0.10374631732702255,14.107191562652588,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_500_correlacion_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_500_correlacion_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
sensores_tal_cual,cercania,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.012550038073220318,0.013267373916341946,0.04573677480220795,0.11518408358097076,58.85124707221985,results\experimentos_epocas_datos\run_20260430_134001\modelos\sensores_tal_cual_cercania_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_500,cercania,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.010184557894013535,0.009905013100204162,0.04675158113241196,0.09952393174171448,15.380117177963257,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_500_cercania_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_500_cercania_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v2_500,cercania,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.010125643640975247,0.010112630691101803,0.04717421904206276,0.10056157410144806,18.603087186813354,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_500_cercania_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_500_cercania_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
sensores_tal_cual,cercania,GCN_GRU,0.001,0,1,1,1,4,32,64,0.014521365253671028,0.015409659468158912,0.04921205714344978,0.12413564324378967,77.3405225276947,results\experimentos_epocas_datos\run_20260430_134001\modelos\sensores_tal_cual_cercania_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v2_500,correlacion,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.01262696855754064,0.012777976195578113,0.051128264516592026,0.11303970962762833,18.51897668838501,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_500_correlacion_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_500_correlacion_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v1_500,cercania,GCN_GRU,0.001,0,1,1,1,4,32,64,0.012848854445459208,0.013498344841259731,0.06116490438580513,0.11618237942457199,20.997591495513916,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v1_500_cercania_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v1_500_cercania_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v1_500,correlacion,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.013359465722507602,0.014065959970161957,0.061765123158693314,0.11859999597072601,23.66373562812805,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v1_500_correlacion_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v1_500_correlacion_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_50,correlacion,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.014474854432466875,0.016464898501508122,0.06557900458574295,0.12831561267375946,7.542629957199097,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_50_correlacion_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_50_correlacion_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
sensores_tal_cual,cercania,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.012525627757454161,0.013082983548296763,0.06562092900276184,0.1143808662891388,73.9348931312561,results\experimentos_epocas_datos\run_20260430_134001\modelos\sensores_tal_cual_cercania_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_50,correlacion,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.014391156289785361,0.016360350445114732,0.06571750342845917,0.12790758907794952,6.255566596984863,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_50_correlacion_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_50_correlacion_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_500,correlacion,GCN_GRU,0.001,0,1,1,1,4,32,64,0.009370815960173211,0.008863282356301898,0.06651525944471359,0.09414500743150711,13.463576078414917,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_500_correlacion_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_500_correlacion_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
