caso,tipo_adyacencia,modelo,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,tiempo_minutos,tiempo_horas
proximidad_500,correlacion,GCN_LSTM,12,0.003171683867771,0.002903234488993,0.0235775485634803,0.0538816712796688,20.21,0.34
proximidad_500,correlacion,GCN_GRU,9,0.0031272294593693,0.0028565312051435,0.0243499595671892,0.053446527570486,20.06,0.33
sensores_tal_cual,correlacion,GCN_GRU,25,0.0040336134864551,0.004134496724397,0.0248434823006391,0.0643000528216362,104.95,1.75
sensores_tal_cual,correlacion,GCN_LSTM,25,0.004040245973751,0.0041487501239357,0.0249621421098709,0.0644107908010482,110.17,1.84
proximidad_sentido_v1_500,correlacion,GCN_LSTM,25,0.0033511164772658,0.0032354851035741,0.0250176936388015,0.0568813271820545,31.45,0.52
proximidad_sentido_v1_500,correlacion,GCN_GRU,25,0.003254231415546,0.0031407053927148,0.0251842830330133,0.0560419969260692,32.15,0.54
proximidad_sentido_v2_500,correlacion,GCN_GRU,25,0.003637916045831,0.0033326849334034,0.0256402343511581,0.0577294155955314,24.23,0.4
proximidad_sentido_v2_500,correlacion,GCN_LSTM,25,0.003292512676298,0.0029722978550158,0.0261823758482933,0.0545187853276729,24.19,0.4
proximidad_sentido_v2_50,correlacion,GCN_LSTM,25,0.0039081521191409,0.0036299766638394,0.0271631442010402,0.0602492876350879,8.81,0.15
proximidad_sentido_v2_50,correlacion,GCN_GRU,25,0.0039900911942494,0.0036725613181363,0.0282465051859617,0.0606016628444194,8.86,0.15
proximidad_sentido_v1_50,correlacion,GCN_LSTM,25,0.004311897880219,0.0038611473374775,0.0287387520074844,0.0621381290256977,10.67,0.18
proximidad_500,correlacion,GAT_LSTM,25,0.0045469902092107,0.0041381756903321,0.0295431781560182,0.0643286556005477,28.72,0.48
proximidad_sentido_v1_50,correlacion,GCN_GRU,25,0.0043187203899059,0.00388365422016,0.0298865605145692,0.0623189695179462,10.78,0.18
sensores_tal_cual,correlacion,GAT_LSTM,23,0.0052610048687854,0.0055004254658338,0.0299292895942926,0.0741648524999618,143.3,2.39
proximidad_50,correlacion,GCN_LSTM,25,0.0045314540615637,0.004302050661859,0.0306101646274328,0.0655900239944458,7.55,0.13
