caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_minutos,tiempo_horas
proximidad_500,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.0022994646644952,0.0022334788105703,0.0213815178722143,0.0472596958279609,88.09,1.47
proximidad_500,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.0024054707925368,0.002373250296556,0.0220177173614501,0.0487160198390483,87.71,1.46
proximidad_sentido_v2_500,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.002733105828342,0.0027821460595413,0.0244545955210924,0.0527460500597953,115.97,1.93
proximidad_sentido_v2_500,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.0027524356289244,0.0028205306157601,0.0247079469263553,0.0531086698174476,113.77,1.9
proximidad_sentido_v1_500,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.0033430375528689,0.0032124648770245,0.0247573647648096,0.0566786080598831,205.15,3.42
sensores_tal_cual,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.0040493787465492,0.0040090668070448,0.0251442436128854,0.0633171871304512,565.26,9.42
proximidad_sentido_v1_500,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.0035243722824675,0.003393122402417,0.0252122730016708,0.0582505129277706,202.73,3.38
sensores_tal_cual,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.0041675910186219,0.0041761503806042,0.0264441948384046,0.0646231397986412,505.25,8.42
proximidad_comportamiento_500,correlacion,GCN_LSTM,1.0,100,25,25,25,32,32,64,0.0065842222818529,0.0061503971711273,0.0373468361794948,0.0784244760870933,98.18,1.64
proximidad_comportamiento_500,correlacion,GCN_GRU,1.0,100,25,25,25,32,32,64,0.0069656201072483,0.006505576343211,0.0378500446677207,0.0806571543216705,97.63,1.63
