caso,tipo_adyacencia,modelo,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,tiempo_minutos,tiempo_horas
proximidad_500,correlacion,GCN_LSTM,25,0.0022746221484317,0.0025026470710189,0.0221419427543878,0.050026461482048,2519.2674560546875,41.99,0.7
proximidad_500,correlacion,GCN_GRU,25,0.0023811469981331,0.0025745758206158,0.0236031450331211,0.0507402755320072,2499.5605375766754,41.66,0.69
sensores_tal_cual,correlacion,GCN_LSTM,25,0.0040301769253234,0.004066878316326,0.0250518526881933,0.0637720823287963,16460.28584766388,274.34,4.57
sensores_tal_cual,correlacion,GCN_GRU,25,0.0040021031025659,0.0040450906197046,0.0252863876521587,0.0636010244488716,14405.282064437866,240.09,4.0
proximidad_sentido_v1_500,correlacion,GCN_GRU,25,0.0033758316470747,0.0032657572189001,0.0254098419100046,0.0571468062698841,5767.792515039444,96.13,1.6
proximidad_sentido_v2_500,correlacion,GCN_LSTM,23,0.0029506426074622,0.0028308307930229,0.0262906439602375,0.0532055534422397,3283.1396260261536,54.72,0.91
proximidad_sentido_v2_500,correlacion,GCN_GRU,25,0.0029864829073855,0.0028571611425528,0.0267005655914545,0.0534524172544479,3217.569165945053,53.63,0.89
proximidad_sentido_v1_500,correlacion,GCN_LSTM,25,0.0034390944372402,0.0033265429916849,0.0267087128013372,0.0576761923730373,5817.116131782532,96.95,1.62
proximidad_500,correlacion,GAT_LSTM,25,0.0036155356008007,0.0037696049709654,0.0277583077549934,0.0613971091806888,3605.402839899063,60.09,1.0
sensores_tal_cual,correlacion,GAT_LSTM,25,0.0049384170453305,0.0050025251418076,0.029298173263669,0.0707285329699516,20601.909472465515,343.37,5.72
proximidad_sentido_v1_500,correlacion,GAT_LSTM,25,0.0047013154161381,0.0044984525334044,0.0309643298387527,0.0670705065131187,7745.545148134232,129.09,2.15
proximidad_sentido_v1_50,correlacion,GCN_LSTM,21,0.003985640498591,0.0039860853747131,0.0310778263956308,0.063135452568531,1409.911095380783,23.5,0.39
proximidad_sentido_v2_500,correlacion,GAT_LSTM,25,0.0046807854482329,0.004461641508488,0.0315838307142257,0.0667955204844474,4515.769584178925,75.26,1.25
proximidad_sentido_v1_50,correlacion,GCN_GRU,25,0.0039115020729325,0.003919113624588,0.0317572802305221,0.0626028254628181,1421.0075035095217,23.68,0.39
proximidad_500,cercania,GCN_GRU,24,0.0041216102543712,0.0044529780400571,0.0337528139352798,0.0667306408286094,2467.453047990799,41.12,0.69
proximidad_sentido_v2_50,correlacion,GCN_LSTM,25,0.0044535387180929,0.0041773732820594,0.0341176092624664,0.0646326020359993,1107.7372164726255,18.46,0.31
proximidad_sentido_v2_50,correlacion,GCN_GRU,25,0.0041996462092401,0.0039245202826956,0.0349540635943412,0.0626459941267967,1132.354034423828,18.87,0.31
proximidad_500,cercania,GCN_LSTM,24,0.0039895713593764,0.0042160831104366,0.0361809767782688,0.0649313703179359,2483.260978937149,41.39,0.69
proximidad_50,correlacion,GCN_LSTM,25,0.0055845363789962,0.0062885396860907,0.0364715047180652,0.0793003067374229,993.0544707775116,16.55,0.28
proximidad_sentido_v1_500,cercania,GCN_GRU,25,0.0057740689094327,0.0055808137147974,0.0372804552316665,0.0747048482298851,5634.016840457916,93.9,1.57
proximidad_500,cercania,GAT_LSTM,24,0.004145653899989,0.0043386617353484,0.0374454595148563,0.0658685192465782,3550.446788787842,59.17,0.99
proximidad_sentido_v1_500,cercania,GCN_LSTM,25,0.0058470841382204,0.0056535635672417,0.0377075262367725,0.0751901790499687,5726.067401885986,95.43,1.59
proximidad_sentido_v2_500,cercania,GCN_GRU,25,0.0053743086030913,0.0051689718562511,0.0382585637271404,0.0718955621123313,3182.163937807083,53.04,0.88
proximidad_comportamiento_500,correlacion,GCN_LSTM,24,0.0068608729030798,0.0071587553615739,0.0393256023526191,0.0846094265580177,2796.051598787308,46.6,0.78
proximidad_50,correlacion,GCN_GRU,25,0.0057702213548767,0.0059999219601812,0.039375215768814,0.0774591639637947,1008.8987526893616,16.81,0.28
proximidad_sentido_v2_500,cercania,GCN_LSTM,20,0.0058094522846793,0.0056379884860857,0.0399119444191455,0.0750865414738655,3255.3282101154327,54.26,0.9
sensores_tal_cual,cercania,GCN_LSTM,25,0.007685979877679,0.0076980930557589,0.0399408154189586,0.0877387747168541,16120.392526626589,268.67,4.48
